id	file	line	scope	pattern	expression	current_authority_source	classification	canonical_owner	proposed_action	behavior_change	test_or_contract_coverage	review_status
FB-00001	skills/buster/buster-pipeline.ts	122	summarizeSandboxCleanupFailure	pipe_pipe	|| cleanupResult.policy_denied?.map((entry) => entry.reason).filter(Boolean).join('; ')	typed error/detail state	keep_pure_boolean_predicate	predicate owner	Keep if review confirms this is only a predicate and does not select replacement authority.	none_expected	focused_tests_plus_fallback_freeze_contract	classified_pending_human_review
FB-00002	skills/buster/buster-pipeline.ts	123	summarizeSandboxCleanupFailure	pipe_pipe	|| 'cleanup returned ok=false';	summarizeSandboxCleanupFailure	move_local_default_to_config_normalization_or_fail	config/schema normalization or authority boundary	Remove local default; either config-normalize the product default or fail typed for missing authority.	possible_louder_failure	focused_tests_plus_fallback_freeze_contract	classified_pending_human_review
FB-00003	skills/buster/buster-pipeline.ts	158	parseBusterEntrypointArgs	pipe_pipe	if (args.length === 1 && (args[0] === '--help' || args[0] === '-h')) return 'help';	parseBusterEntrypointArgs	keep_pure_boolean_predicate	predicate owner	Keep if review confirms this is only a predicate and does not select replacement authority.	none_expected	focused_tests_plus_fallback_freeze_contract	classified_pending_human_review
FB-00004	skills/buster/buster-pipeline.ts	166	shutdown	nullish	const exitCode = opts.exitCode ?? 0;	caller options/dependencies	move_local_default_to_config_normalization_or_fail	config/schema normalization or authority boundary	Remove local default; either config-normalize the product default or fail typed for missing authority.	possible_louder_failure	focused_tests_plus_fallback_freeze_contract	classified_pending_human_review
FB-00005	skills/buster/buster-pipeline.ts	167	shutdown	pipe_pipe	const cleanupStage = opts.cleanupStage || 'shutdown';	caller options/dependencies	move_local_default_to_config_normalization_or_fail	config/schema normalization or authority boundary	Remove local default; either config-normalize the product default or fail typed for missing authority.	possible_louder_failure	focused_tests_plus_fallback_freeze_contract	classified_pending_human_review
FB-00006	skills/buster/buster-pipeline.ts	171	shutdown	pipe_pipe	reason: opts.reason || 'gateway_unavailable',	caller options/dependencies	move_local_default_to_config_normalization_or_fail	config/schema normalization or authority boundary	Remove local default; either config-normalize the product default or fail typed for missing authority.	possible_louder_failure	focused_tests_plus_fallback_freeze_contract	classified_pending_human_review
FB-00007	skills/buster/buster-pipeline.ts	172	shutdown	pipe_pipe	detail: opts.detail || `${signal} triggered structured shutdown`,	caller options/dependencies	move_local_default_to_config_normalization_or_fail	config/schema normalization or authority boundary	Remove local default; either config-normalize the product default or fail typed for missing authority.	possible_louder_failure	focused_tests_plus_fallback_freeze_contract	classified_pending_human_review
FB-00008	skills/buster/buster-pipeline.ts	252	main	pipe_pipe	const platformCapabilities = parseCapabilitiesEnv(process.env.BUSTER_PLATFORM_CAPABILITIES || '');	config/schema input	move_env_default_to_config_normalization	config/schema normalization	Move env/default selection into config normalization; runtime callsite should read normalized required config.	default_authority_may_move	focused_tests_plus_fallback_freeze_contract	classified_pending_human_review
FB-00009	skills/buster/buster-pipeline.ts	257	main	pipe_pipe	project: process.env.BUSTER_PROJECT || null,	config/schema input	move_env_default_to_config_normalization	config/schema normalization	Move env/default selection into config normalization; runtime callsite should read normalized required config.	default_authority_may_move	focused_tests_plus_fallback_freeze_contract	classified_pending_human_review
FB-00010	skills/buster/pipeline/services/verdict-schema.ts	112	createSuiteVerdict	pipe_pipe	if (!suite || typeof suite !== 'string') {	createSuiteVerdict	keep_pure_boolean_predicate	predicate owner	Keep if review confirms this is only a predicate and does not select replacement authority.	none_expected	focused_tests_plus_fallback_freeze_contract	classified_pending_human_review
FB-00011	skills/buster/pipeline/services/verdict-schema.ts	122	createSuiteVerdict	nullish	critical:       opts.critical       ?? false,	caller options/dependencies	move_local_default_to_config_normalization_or_fail	config/schema normalization or authority boundary	Remove local default; either config-normalize the product default or fail typed for missing authority.	possible_louder_failure	focused_tests_plus_fallback_freeze_contract	classified_pending_human_review
FB-00012	skills/buster/pipeline/services/verdict-schema.ts	123	createSuiteVerdict	nullish	duration_ms:    opts.duration_ms    ?? 0,	caller options/dependencies	move_local_default_to_config_normalization_or_fail	config/schema normalization or authority boundary	Remove local default; either config-normalize the product default or fail typed for missing authority.	possible_louder_failure	focused_tests_plus_fallback_freeze_contract	classified_pending_human_review
FB-00013	skills/buster/pipeline/services/verdict-schema.ts	124	createSuiteVerdict	nullish	checks_total:   opts.checks_total   ?? 0,	caller options/dependencies	move_local_default_to_config_normalization_or_fail	config/schema normalization or authority boundary	Remove local default; either config-normalize the product default or fail typed for missing authority.	possible_louder_failure	focused_tests_plus_fallback_freeze_contract	classified_pending_human_review
FB-00014	skills/buster/pipeline/services/verdict-schema.ts	125	createSuiteVerdict	nullish	checks_passed:  opts.checks_passed  ?? 0,	caller options/dependencies	move_local_default_to_config_normalization_or_fail	config/schema normalization or authority boundary	Remove local default; either config-normalize the product default or fail typed for missing authority.	possible_louder_failure	focused_tests_plus_fallback_freeze_contract	classified_pending_human_review
