consumer	line	reference	exact_path_exists	kind	target_type
.github/workflows/docs-checks.yaml	5	docs/**	False	literal-reference; check dynamic assembly in AP03	pattern-or-unresolved
.github/workflows/docs-checks.yaml	21	docs/**	False	literal-reference; check dynamic assembly in AP03	pattern-or-unresolved
.github/workflows/docs-checks.yaml	55	docs/architecture/plugin-system-current-inventory.md	True	literal-reference; check dynamic assembly in AP03	file
.github/workflows/docs-checks.yaml	55	docs/generated	True	literal-reference; check dynamic assembly in AP03	directory
.github/workflows/docs-checks.yaml	55	docs/reference	True	literal-reference; check dynamic assembly in AP03	directory
.github/workflows/docs-checks.yaml	61	docs/architecture/plugin-system-current-inventory.md	True	literal-reference; check dynamic assembly in AP03	file
.github/workflows/docs-checks.yaml	61	docs/generated	True	literal-reference; check dynamic assembly in AP03	directory
.github/workflows/docs-checks.yaml	61	docs/reference	True	literal-reference; check dynamic assembly in AP03	directory
.github/workflows/docs-checks.yaml	108	docs/architecture/plugin-system-current-inventory.md	True	literal-reference; check dynamic assembly in AP03	file
.github/workflows/docs-checks.yaml	108	docs/generated	True	literal-reference; check dynamic assembly in AP03	directory
.github/workflows/docs-checks.yaml	108	docs/reference	True	literal-reference; check dynamic assembly in AP03	directory
.github/workflows/docs-checks.yaml	115	docs/architecture/plugin-system-current-inventory.md	True	literal-reference; check dynamic assembly in AP03	file
.github/workflows/docs-checks.yaml	115	docs/generated	True	literal-reference; check dynamic assembly in AP03	directory
.github/workflows/docs-checks.yaml	115	docs/reference	True	literal-reference; check dynamic assembly in AP03	directory
README.md	9	docs/README.md	True	literal-reference; check dynamic assembly in AP03	file
README.md	10	docs/getting-started/README.md	False	literal-reference; check dynamic assembly in AP03	pattern-or-unresolved
README.md	11	docs/architecture/README.md	True	literal-reference; check dynamic assembly in AP03	file
README.md	12	docs/deployment/README.md	True	literal-reference; check dynamic assembly in AP03	file
README.md	13	docs/pipeline/README.md	False	literal-reference; check dynamic assembly in AP03	pattern-or-unresolved
README.md	14	docs/operators/README.md	True	literal-reference; check dynamic assembly in AP03	file
README.md	15	docs/developers/README.md	True	literal-reference; check dynamic assembly in AP03	file
README.md	16	docs/reference/README.md	False	literal-reference; check dynamic assembly in AP03	pattern-or-unresolved
README.md	17	docs/decisions/README.md	False	literal-reference; check dynamic assembly in AP03	pattern-or-unresolved
README.md	41	docs/operations/runtime-versions-and-images.md	True	literal-reference; check dynamic assembly in AP03	file
README.md	58	docs/operations/worker-trust-runbook.md	True	literal-reference; check dynamic assembly in AP03	file
contracts/pipeline-test-gate/v1/README.md	82	docs/architecture/pipeline-test-gate-phase-2-audit.md	True	literal-reference; check dynamic assembly in AP03	file
package.json	79	docs/architecture/pipeline-test-gate-manifest-lint-baseline.json	True	literal-reference; check dynamic assembly in AP03	file
package.json	79	docs/architecture/pipeline-test-gate-manifest-lint-parity-ledger.json	True	literal-reference; check dynamic assembly in AP03	file
package.json	79	docs/architecture/pipeline-test-gate-manifest-lint-parity-report.md	True	literal-reference; check dynamic assembly in AP03	file
package.json	91	docs/architecture/pipeline-test-gate-size-budget-baseline.json	True	literal-reference; check dynamic assembly in AP03	file
package.json	91	docs/architecture/pipeline-test-gate-size-budget-parity-ledger.json	True	literal-reference; check dynamic assembly in AP03	file
package.json	96	docs/architecture/pipeline-test-gate-kubernetes-fixture-baseline.json	True	literal-reference; check dynamic assembly in AP03	file
package.json	96	docs/architecture/pipeline-test-gate-kubernetes-fixture-parity-ledger.json	True	literal-reference; check dynamic assembly in AP03	file
package.json	102	docs/architecture/pipeline-test-gate-http-baseline.json	True	literal-reference; check dynamic assembly in AP03	file
package.json	102	docs/architecture/pipeline-test-gate-http-parity-ledger.json	True	literal-reference; check dynamic assembly in AP03	file
package.json	108	docs/architecture/pipeline-test-gate-api-baseline.json	True	literal-reference; check dynamic assembly in AP03	file
package.json	108	docs/architecture/pipeline-test-gate-api-parity-ledger.json	True	literal-reference; check dynamic assembly in AP03	file
package.json	112	docs/architecture/pipeline-test-gate-a11y-baseline.json	True	literal-reference; check dynamic assembly in AP03	file
package.json	112	docs/architecture/pipeline-test-gate-a11y-parity-ledger.json	True	literal-reference; check dynamic assembly in AP03	file
package.json	117	docs/architecture/pipeline-test-gate-lighthouse-baseline.json	True	literal-reference; check dynamic assembly in AP03	file
package.json	117	docs/architecture/pipeline-test-gate-lighthouse-parity-ledger.json	True	literal-reference; check dynamic assembly in AP03	file
package.json	122	docs/architecture/pipeline-test-gate-visual-baseline.json	True	literal-reference; check dynamic assembly in AP03	file
package.json	122	docs/architecture/pipeline-test-gate-visual-parity-ledger.json	True	literal-reference; check dynamic assembly in AP03	file
package.json	127	docs/architecture/pipeline-test-gate-e2e-baseline.json	True	literal-reference; check dynamic assembly in AP03	file
package.json	127	docs/architecture/pipeline-test-gate-e2e-parity-ledger.json	True	literal-reference; check dynamic assembly in AP03	file
package.json	131	docs/architecture/pipeline-test-gate-security-baseline.json	True	literal-reference; check dynamic assembly in AP03	file
package.json	131	docs/architecture/pipeline-test-gate-security-parity-ledger.json	True	literal-reference; check dynamic assembly in AP03	file
scripts/check-suite-migration-workflow.mjs	19	docs/architecture/pipeline-test-gate-suite-migration-status.json	True	literal-reference; check dynamic assembly in AP03	file
scripts/check-suite-migration-workflow.mjs	281	docs/architecture	True	literal-reference; check dynamic assembly in AP03	directory
scripts/check-suite-migration-workflow.mjs	283	docs/architecture/${name}	False	literal-reference; check dynamic assembly in AP03	pattern-or-unresolved
scripts/check-suite-migration-workflow.mjs	377	docs/architecture/pipeline-test-gate-suite-migration-playbook.md	True	literal-reference; check dynamic assembly in AP03	file
scripts/check-suite-migration-workflow.mjs	378	docs/architecture/pipeline-test-gate-suite-migration-templates.md	True	literal-reference; check dynamic assembly in AP03	file
scripts/cleanup-consolidated-branches.py	23	docs/review/branch-cleanup-20260912/branches.json	True	literal-reference; check dynamic assembly in AP03	file
scripts/deploy-cilium.sh	11	docs/ops/cilium-networking.md	False	literal-reference; check dynamic assembly in AP03	pattern-or-unresolved
scripts/deploy-cilium.sh	52	docs/ops/cilium-networking.md.	False	literal-reference; check dynamic assembly in AP03	pattern-or-unresolved
scripts/deploy.sh	915	docs/operations/registry-clients.md.	False	literal-reference; check dynamic assembly in AP03	pattern-or-unresolved
scripts/deploy.sh	2646	docs/architecture/pipeline-test-gate-suite-migration-status.json	True	literal-reference; check dynamic assembly in AP03	file
scripts/docs-blueprint-generate.mjs	142	docs/implementation/prism-production-integration-plan.md	True	literal-reference; check dynamic assembly in AP03	file
scripts/docs-blueprint-generate.mjs	207	docs/blueprint/	False	literal-reference; check dynamic assembly in AP03	pattern-or-unresolved
scripts/docs-blueprint-generate.mjs	207	docs/site/	False	literal-reference; check dynamic assembly in AP03	pattern-or-unresolved
scripts/docs-blueprint-generate.mjs	212	docs/diagrams/	False	literal-reference; check dynamic assembly in AP03	pattern-or-unresolved
scripts/docs-blueprint-generate.mjs	213	docs/generated/inventory/	False	literal-reference; check dynamic assembly in AP03	pattern-or-unresolved
scripts/docs-blueprint-generate.mjs	214	docs/generated/reference/	False	literal-reference; check dynamic assembly in AP03	pattern-or-unresolved
scripts/docs-blueprint-generate.mjs	216	docs/examples/	False	literal-reference; check dynamic assembly in AP03	pattern-or-unresolved
scripts/docs-blueprint-generate.mjs	217	docs/decisions/	False	literal-reference; check dynamic assembly in AP03	pattern-or-unresolved
scripts/docs-blueprint-generate.mjs	218	docs/implementation/	False	literal-reference; check dynamic assembly in AP03	pattern-or-unresolved
scripts/docs-blueprint-generate.mjs	219	docs/spikes/	False	literal-reference; check dynamic assembly in AP03	pattern-or-unresolved
scripts/docs-blueprint-generate.mjs	220	docs/DOCUMENTATION_TOPIC_MAP.md	True	literal-reference; check dynamic assembly in AP03	file
scripts/docs-blueprint-generate.mjs	220	docs/blueprint/02-three-track-site-map.md	True	literal-reference; check dynamic assembly in AP03	file
scripts/docs-blueprint-generate.mjs	221	docs/ROADMAP.md	True	literal-reference; check dynamic assembly in AP03	file
scripts/docs-blueprint-generate.mjs	222	docs/CONTRIBUTING.md	True	literal-reference; check dynamic assembly in AP03	file
scripts/docs-blueprint-generate.mjs	223	docs/README.md	True	literal-reference; check dynamic assembly in AP03	file
scripts/docs-blueprint-generate.mjs	224	docs/reference/	False	literal-reference; check dynamic assembly in AP03	pattern-or-unresolved
scripts/docs-blueprint-generate.mjs	225	docs/operators/	False	literal-reference; check dynamic assembly in AP03	pattern-or-unresolved
scripts/docs-blueprint-generate.mjs	226	docs/operations/	False	literal-reference; check dynamic assembly in AP03	pattern-or-unresolved
scripts/docs-blueprint-generate.mjs	226	docs/ops/	False	literal-reference; check dynamic assembly in AP03	pattern-or-unresolved
scripts/docs-blueprint-generate.mjs	227	docs/runbooks/	False	literal-reference; check dynamic assembly in AP03	pattern-or-unresolved
scripts/docs-blueprint-generate.mjs	228	docs/security/	False	literal-reference; check dynamic assembly in AP03	pattern-or-unresolved
scripts/docs-blueprint-generate.mjs	229	docs/user-guides/	False	literal-reference; check dynamic assembly in AP03	pattern-or-unresolved
scripts/docs-blueprint-generate.mjs	230	docs/deployment/	False	literal-reference; check dynamic assembly in AP03	pattern-or-unresolved
scripts/docs-blueprint-generate.mjs	231	docs/developers/	False	literal-reference; check dynamic assembly in AP03	pattern-or-unresolved
scripts/docs-blueprint-generate.mjs	232	docs/pipeline/architecture.md	True	literal-reference; check dynamic assembly in AP03	file
scripts/docs-blueprint-generate.mjs	233	docs/architecture/	False	literal-reference; check dynamic assembly in AP03	pattern-or-unresolved
scripts/docs-blueprint-generate.mjs	267	docs/blueprint/01-platform-inventory.md	True	literal-reference; check dynamic assembly in AP03	file
scripts/docs-blueprint-generate.mjs	268	docs/blueprint/02-three-track-site-map.md	True	literal-reference; check dynamic assembly in AP03	file
scripts/docs-blueprint-generate.mjs	269	docs/blueprint/03-migration-and-deletion.md	True	literal-reference; check dynamic assembly in AP03	file
scripts/docs-blueprint-generate.mjs	270	docs/blueprint/04-evidence-matrix.md	True	literal-reference; check dynamic assembly in AP03	file
scripts/docs-blueprint-generate.mjs	271	docs/blueprint/05-decision-record-catalogue.md	True	literal-reference; check dynamic assembly in AP03	file
scripts/docs-blueprint-generate.mjs	272	docs/blueprint/06-automation-and-publication.md	True	literal-reference; check dynamic assembly in AP03	file
scripts/docs-check-coverage.mjs	7	docs/DOCUMENTATION_TOPIC_MAP.md	True	literal-reference; check dynamic assembly in AP03	file
scripts/docs-check-coverage.mjs	37	docs/archive/	False	literal-reference; check dynamic assembly in AP03	pattern-or-unresolved
scripts/docs-check-refs.mjs	33	docs/DOCUMENTATION_AUDIT.md	False	literal-reference; check dynamic assembly in AP03	pattern-or-unresolved
scripts/docs-check-refs.mjs	34	docs/DOCUMENTATION_PLAN.md	False	literal-reference; check dynamic assembly in AP03	pattern-or-unresolved
scripts/docs-check-refs.mjs	35	docs/DOCUMENTATION_REBUILD_PLAN.md	False	literal-reference; check dynamic assembly in AP03	pattern-or-unresolved
scripts/docs-check-refs.mjs	36	docs/DOCUMENTATION_TARGET_PAGE_LIST.md	False	literal-reference; check dynamic assembly in AP03	pattern-or-unresolved
scripts/docs-check-refs.mjs	37	docs/ROADMAP.md	True	literal-reference; check dynamic assembly in AP03	file
scripts/docs-check-refs.mjs	38	docs/future-implementation-ideas.md	False	literal-reference; check dynamic assembly in AP03	pattern-or-unresolved
scripts/docs-check-refs.mjs	39	docs/open-issues.md	False	literal-reference; check dynamic assembly in AP03	pattern-or-unresolved
scripts/docs-check-refs.mjs	40	docs/architecture/pipeline-test-gate-unit-baseline.md	True	literal-reference; check dynamic assembly in AP03	file
scripts/docs-check-refs.mjs	63	docs/archive/	False	literal-reference; check dynamic assembly in AP03	pattern-or-unresolved
scripts/docs-check-refs.mjs	90	docs/archive/	False	literal-reference; check dynamic assembly in AP03	pattern-or-unresolved
scripts/docs-check-refs.mjs	123	docs/archive/	False	literal-reference; check dynamic assembly in AP03	pattern-or-unresolved
scripts/docs-check-refs.mjs	146	docs/review/	False	literal-reference; check dynamic assembly in AP03	pattern-or-unresolved
scripts/docs-check-refs.mjs	168	docs/archive/**	False	literal-reference; check dynamic assembly in AP03	pattern-or-unresolved
scripts/docs-check.mjs	28	docs/archive/	False	literal-reference; check dynamic assembly in AP03	pattern-or-unresolved
scripts/docs-check.mjs	49	docs/archive/	False	literal-reference; check dynamic assembly in AP03	pattern-or-unresolved
scripts/docs-check.mjs	57	docs/reference/cli.md	True	literal-reference; check dynamic assembly in AP03	file
scripts/docs-check.mjs	58	docs/reference/environment-variables.md	True	literal-reference; check dynamic assembly in AP03	file
scripts/docs-check.mjs	59	docs/reference/helm-values.md	True	literal-reference; check dynamic assembly in AP03	file
scripts/docs-check.mjs	60	docs/reference/secrets.md	True	literal-reference; check dynamic assembly in AP03	file
scripts/docs-check.mjs	61	docs/reference/verification-commands.md	True	literal-reference; check dynamic assembly in AP03	file
