id	local_status	verification_scope	evidence	live_acceptance_status
PCR-AGENT-CONTRACT-001	verifiziert	Lokale Originalregressionen und unabhängige Codegegenprüfung; keine Deployment-/Gesamt-E2E-Freigabe.	"[{""report"": ""implementation/contracts-2.md"", ""summary"": ""Original contract regressions, real renderer/resolver/consumer tests, typechecks; independent review corrected component-order defect.""}]"	not evaluated in AP01; source for AP04
PCR-CONTRACT-PLUGIN-001	verifiziert	Lokale Originalregressionen und unabhängige Codegegenprüfung; keine Deployment-/Gesamt-E2E-Freigabe.	"[{""report"": ""implementation/registry.md"", ""summary"": ""Real registry/default/canonical-ref isolation and package syntax rejection; all24 capability-security assertions; original relevant gates/typecheck/lint; independent review.""}]"	not evaluated in AP01; source for AP04
PCR-PACKAGES-001	verifiziert	Lokale Originalregressionen und unabhängige Codegegenprüfung; keine Deployment-/Gesamt-E2E-Freigabe.	"[{""report"": ""implementation/registry.md"", ""summary"": ""Real registry/default/canonical-ref isolation and package syntax rejection; all24 capability-security assertions; original relevant gates/typecheck/lint; independent review.""}]"	not evaluated in AP01; source for AP04
PCR-PRISM-CONTRACT-001	verifiziert	Lokale Originalregressionen und unabhängige Codegegenprüfung; keine Deployment-/Gesamt-E2E-Freigabe.	"[{""report"": ""implementation/contracts-2.md"", ""summary"": ""Original contract regressions, real renderer/resolver/consumer tests, typechecks; independent review corrected component-order defect.""}]"	not evaluated in AP01; source for AP04
PCR-PRISM-CONTRACT-002	verifiziert	Lokale Originalregressionen und unabhängige Codegegenprüfung; keine Deployment-/Gesamt-E2E-Freigabe.	"[{""report"": ""implementation/contracts-2.md"", ""summary"": ""Original contract regressions, real renderer/resolver/consumer tests, typechecks; independent review corrected component-order defect.""}]"	not evaluated in AP01; source for AP04
PCR-PROMPT-001	verifiziert	Lokale Originalregressionen und unabhängige Codegegenprüfung; keine Deployment-/Gesamt-E2E-Freigabe.	"[{""report"": ""implementation/contracts.md"", ""summary"": ""SDK/prompt tests and builds; real artifact/journal and Git consumers; 100 accepted JSON byte compatibility probes; independent review.""}]"	not evaluated in AP01; source for AP04
PCR-REGISTRY-001	verifiziert	Lokale Originalregressionen und unabhängige Codegegenprüfung; keine Deployment-/Gesamt-E2E-Freigabe.	"[{""report"": ""implementation/registry.md"", ""summary"": ""Real registry/default/canonical-ref isolation and package syntax rejection; all24 capability-security assertions; original relevant gates/typecheck/lint; independent review.""}]"	not evaluated in AP01; source for AP04
PCR-REGISTRY-002	verifiziert	Lokale Originalregressionen und unabhängige Codegegenprüfung; keine Deployment-/Gesamt-E2E-Freigabe.	"[{""report"": ""implementation/registry.md"", ""summary"": ""Real registry/default/canonical-ref isolation and package syntax rejection; all24 capability-security assertions; original relevant gates/typecheck/lint; independent review.""}]"	not evaluated in AP01; source for AP04
PCR-SDK-001	verifiziert	Lokale Originalregressionen und unabhängige Codegegenprüfung; keine Deployment-/Gesamt-E2E-Freigabe.	"[{""report"": ""implementation/contracts.md"", ""summary"": ""SDK/prompt tests and builds; real artifact/journal and Git consumers; 100 accepted JSON byte compatibility probes; independent review.""}, {""report"": ""implementation/sdk-json-compatibility.md"", ""summary"": ""345 akzeptierte Originalbytes in drei nativen Locales verglichen; echter Artifactspeicher liest alte Bytes, schwedische Re-Serialisierung ergibt anderen Digest. Historienaudit ausdrücklich kein permanenter Produktgate; versionierter Consumer-Cutover bleibt offen.""}, {""report"": ""implementation/wave47-sdk-subject-independent-review.md"", ""summary"": ""Versionierter Source-/Snapshot-/CLI-Recovery-Teil unabhängig geprüft. Gemeinsame Retirementconsumer-Regression behoben; kein Gesamtabschluss.""}, {""report"": ""implementation/sdk-checkpoint-encoding-independent-review.md"", ""summary"": ""Originaler ArtifactStore→Core-Checkpoint→Diskjournal-Consumerfehler behoben; Encodingbindung, unbekannte Versionen, Legacyreplay und echte SIGKILL/CLI-Recovery unabhängig geprüft. Root bestätigt 8/8 gezielte Tests auf integriertem Stand; Gesamtfinding bleibt offen.""}, {""report"": ""implementation/run3-sdk-repair-independent-review.md"", ""summary"": ""Explizite Repair-Identitäten, echte historische Producer und Cross-Locale-Core-Resume unabhängig 53/53 geprüft. Root kombiniert mit aktueller Attempt-/Artifact-Integration 84/84, keine Skips; Nova/Foundation-Typechecks grün. Weitere Digestconsumer bleiben offen.""}, ""docs/review/evidence/run3-root-sdk-final.txt"", {""report"": ""implementation/run3-review-evidence-independent-review.md"", ""summary"": ""Expliziter Review-Evidence-Codec unabhängig geprüft; Root bestätigt vollständige Originalsuite, 5/5 neue Locale/Schema/HTTP-Regressionen und 9/9 Source-/Recoveryfälle ohne Skips. Historische Compileridentität unverändert; SDK-Gesamtfinding bleibt wegen verbleibendem Adapterconsumer offen.""}, ""docs/review/evidence/run4-root-review-npm.txt"", ""docs/review/evidence/run4-root-review-recovery.txt"", {""report"": ""implementation/run5-adapter-independent-review.md"", ""summary"": ""Adapter-Identitätscutover unabhängig 28/28 geprüft. Root mit bereits integriertem Reader/Review/Retirement 87/87 ohne Skips, historische Original-CLI erneut erfolgreich; Generator, volle Types und unveränderter Lint grün. Kanonische Ownerverträge und alte Producergrenzen erhalten; Persistenz-Ungewissheit nicht in terminales Versagen umgedeutet. Gesamtfinding bleibt bis verbleibender Consumerprüfung offen.""}, ""docs/review/evidence/run6-root-adapter-integrated.txt"", ""docs/review/evidence/run6-root-adapter-historical-cli.txt"", {""report"": ""implementation/run9-sdk-root-review.md"", ""summary"": ""Unabhängig geprüfter run-frozen Transport: Root64/64 und volle ursprüngliche Review-Suite, Foundation/Nova-Types, Generator und archivierte CLI bestanden. Weitere Cache-/Report-/Prism-Domains bleiben offen.""}, {""report"": ""implementation/run9-prism-baseline-root-review.md"", ""summary"": ""Explizite Prism-Baseline-v2 unabhängig geprüft; Root alle16 Locale/CAS-Importkombinationen,5Matrixfälle,25Originaltests,3Types und begrenzter Lint bestanden. Historische Freigaben/v1 erhalten; kein Browser-/DB-Gesamtabschluss.""}, {""report"": ""implementation/run9-cache-reader-root-review.md"", ""summary"": ""Cache-v4/v2 und registrierter Prism-Reader unabhängig geprüft; Root gemeinsam71/71 Native-/Replay-/Operatorfälle,16 registrierte Readerfälle,24 Replayphasen,32 Localeconsumer und8 echte Eigentümerkonflikte bestanden. Volle Original-Review-Suite, archivierte CLI, Types/Generator bestanden; begrenzter Lint mit einer Warnung. Report-Cutover und separater Transport-No-Trap-Selektor bleiben offen.""}, {""report"": ""implementation/run10-runtime-admission-root-review.md"", ""summary"": ""Transport-Selektor validiert nun vor Reflektion. Unabhängige echte HTTP-/Journal-No-Trap-Prüfung; Root91/91 Original-/Cache-/Transportfälle plus16/24/32/8 Reader-Matrix und neue eigenständige Wiederherstellung6/6 bestanden. Types/SDK/Generator/Lint sowie volle unabhängige und Autoren-Review-Suite bestanden; ursprüngliche unveränderte Timingfehler mit vollständigen Wiederholungen erhalten. Report-Cutover und endlicher Consumerabschluss bleiben offen.""}, {""report"": ""implementation/run11-report-root-review.md"", ""summary"": ""Report-only Cutover unabhängig auf aktuellem Runtime-Head geprüft; Root volle Original-Review-Suite mit14 neuen Fällen/registriertem Livepfad,25 echte Native-/SIGKILL-/Replayfälle und frische Wiederherstellung11/11 bestanden. Archivierte Original-CLI/Phase6/Types/Generator bestanden; versehentlich ausgewählte historische Diagnosticfehlprobe ehrlich erhalten. Semantischer Czech-Bundle-/Governor-/Graph-/Summary-Defekt bleibt getrennt offen.""}, {""report"": ""https://github.com/datrab/kubeclaw/blob/4e7a12c2f24a841519373ff9c18110642d130521/docs/review/remediation/implementation/resume-39-20260911-delivery-review.md"", ""summary"": ""Unabhängige unveränderte Delivery-Matrix10/10 einschließlich48 Compilerkombinationen, fünf Sprachumgebungen und zwölf SIGKILL-Historien; vollständige Original-Review- und Remote-Test-Gate-Suites bestanden. Vier echte Cancellationfälle neu ergänzt und lokal bestanden; separate Testgegenprüfung und breitere SDK-/Semantikgates weiter offen. Quelle nicht integriert.""}, {""report"": ""https://github.com/datrab/kubeclaw/blob/d22ee1d298aa63050673e075b363ae4c996008dc/docs/review/remediation/implementation/resume-39-20260911-2h.md"", ""summary"": ""34 neue originale v2/v3-Consumer-Ablehnungsfälle lokal bestanden; echte Import-CAS/Reopen-, gültige Positivkontrollen und unveränderte Originaljournale gesichert. Sieben Delivery-Lintfehler behoben; Paketgrenzenprüfung durch korrekt platzierte Integrationstests repariert. Separate Gegenprüfung, vollständige Knip-/Semantikabnahme weiterhin offen; Quelle nicht integriert.""}, {""report"": ""implementation/resume-84-integration-root-review.md"", ""source_commit"": ""da02ba5ae6abe4b11c1addf992df308608eaed1f"", ""candidate_checkpoint"": ""0144df383250a1975d40b04746eac398ee77e747"", ""summary"": ""Delivery-Refactor und Consumerfälle unabhängig gegengeprüft; dabei verlorene statische Integrationstestabdeckung repariert, mit sechs echten Typfehlern plus drei Root-Negativen bestätigt. Paketgrenzen/Testabdeckung integriert; gekoppelte SDK-/Delivery-Quelle bleibt separat.""}, {""report"": ""implementation/pr6-knip.md"", ""summary"": ""Vollständiges Knip mit real installierten gesperrten Paketversionen bestanden; kanonischer Lint und ursprüngliche Review-/Lintregressionen sowie Pakettypprüfungen bestanden. Kein nativer Semantikabschluss.""}, {""report"": ""implementation/pr6-local-acceptance.md"", ""summary"": ""Gekoppelte semantische Digest-/Consumer- und historische Kompatibilitätsprüfung lokal noch nicht ausreichend abgeschlossen. Frühere lokale Czech-Gegenprobe und spätere Teilprüfungen ergeben noch keinen vollständigen lokalen Abschluss des integrierten SDK-Pakets. Markierte Helper-Aktion bleibt verboten; keine Umleitung.""}, {""report"": ""implementation/pr6-sdk-local-verification.md"", ""summary"": ""Lokaler SDK-Abschluss nach D12: ursprüngliche Serializer-/Artifact-/Effect-/Source-/History-/Compiler-/Semantik-/Summary-/Deliveryconsumer geprüft;13 Owner-,11 History- und5 Deliverytests bestehen, einschließlich12 echter SIGKILL-/Replaygrenzen. Veraltete Summary-Testkopplung an bewusst historisches v2 auf expliziten aktuellen v3-Vertrag korrigiert. Gesperrter Helper nicht erneut ausgeführt; Live-Reviewer/Modelle bleiben separat.""}]"	not evaluated in AP01; source for AP04
PCR-SDK-002	verifiziert	Lokale Originalregressionen und unabhängige Codegegenprüfung; keine Deployment-/Gesamt-E2E-Freigabe.	"[{""report"": ""implementation/contracts.md"", ""summary"": ""SDK/prompt tests and builds; real artifact/journal and Git consumers; 100 accepted JSON byte compatibility probes; independent review.""}]"	not evaluated in AP01; source for AP04
PCR-TELEMETRY-CONTRACT-001	verifiziert	Lokale Originalregressionen und unabhängige Codegegenprüfung; keine Deployment-/Gesamt-E2E-Freigabe.	"[{""report"": ""implementation/telemetry.md"", ""summary"": ""Original validators/generated TS/Go wire forms, independent decimal precision counterprobe and corrected integer decoding; independent review.""}]"	not evaluated in AP01; source for AP04
PCR-TELEMETRY-CONTRACT-002	verifiziert	Lokale Originalregressionen und unabhängige Codegegenprüfung; keine Deployment-/Gesamt-E2E-Freigabe.	"[{""report"": ""implementation/telemetry.md"", ""summary"": ""Original validators/generated TS/Go wire forms, independent decimal precision counterprobe and corrected integer decoding; independent review.""}]"	not evaluated in AP01; source for AP04
PCR-TEST-CONTRACT-001	verifiziert	Lokale Originalregressionen und unabhängige Codegegenprüfung; keine Deployment-/Gesamt-E2E-Freigabe.	"[{""report"": ""implementation/contracts-2.md"", ""summary"": ""Original contract regressions, real renderer/resolver/consumer tests, typechecks; independent review corrected component-order defect.""}]"	not evaluated in AP01; source for AP04
